player_name,age,club,matches_used,shot_stopping_score,handling_score,distribution_score,sweeping_score,reliability_score,consistency_score,current_score,current_rank,success_probability,potential_score,potential_rank,confidence_score,similar_gk_1,similarity_score_1,similar_gk_1_young_age,similar_gk_1_shot_stopping,similar_gk_1_handling,similar_gk_1_distribution,similar_gk_1_sweeping,similar_gk_1_reliability,similar_gk_2,similarity_score_2,similar_gk_3,similarity_score_3
Luca Böggemann,22.0,Sportfreunde Lotte,3,46.30914296383156,47.35469131841752,65.86565772752515,42.53692550026511,43.02426509149673,46.71343588970372,48.437747174772795,161,0.0018420412,0.18420412,97.0,47.7869020878163,Andrija Katic,0.9947571856352745,24.0,45.246200331557006,51.7338110413664,57.3644801484022,49.487108187905434,42.67767530386597,Luca Petzold,0.9927520289303147,Nacho Miras,0.9897779175249298
Muhamed Sahinovic,22.0,Zemplin Michalovce,10,48.114196323910356,53.7989261248831,43.051721029454036,46.73166117057764,48.869694012735295,45.7396093975065,48.38588766604798,162,0.0015446505,0.15446505,102.0,57.01068030009802,Hervé Koffi,0.9987247720676417,29.0,52.696353931360704,54.15274124872919,47.40748326499958,49.3595509736496,52.37970963047071,Brent Gabriël,0.9985557626964506,Antonín Kinský,0.9982658799871811
Mattijs Branderhorst,32.0,FC Utrecht II,1,63.73761635831199,33.05874225113486,49.67064672683997,52.85167039327325,36.61270053275589,,48.29133751262507,163,,,,16.333333333333332,,,,,,,,,,,,
Paul Bernardoni,28.0,Amiens SC,23,47.18721202713805,46.96814870243477,43.57692338219131,48.769945321487526,55.12240128353228,45.83096049526123,48.27935466957533,164,,,,44.415954815245044,,,,,,,,,,,,
Dominik Takac,27.0,Slovan Bratislava,37,48.46600982075733,51.50026310434534,44.91382267190544,46.99619663517913,49.10980110587951,43.36446161537589,48.2667319333447,165,,,,53.00933848461277,,,,,,,,,,,,
Andreas Luthe,39.0,VfL Bochum,1,39.78868864408284,31.06624752051666,40.291306835888946,49.279609775296535,82.87330263042143,,48.19617362632546,166,,,,16.333333333333332,,,,,,,,,,,,
Franco Israel,25.0,FC Turin,9,46.201298665793054,45.17719389725665,47.17591999287965,47.998395592130606,56.16257542375722,43.692921924736055,48.1892171183225,167,0.9895808,98.958084,10.0,55.07864837646904,Georgiy Yermakov,0.9992145493929551,23.0,48.90315283987026,48.29634971938516,50.747194502228155,48.64026799712225,54.65402244572019,Dominik Holec,0.9989358944892972,Filip Stanković,0.9989267360225705
Joshua Smits,33.0,Willem II Tilburg,68,50.36743038445271,49.88641025946857,47.12999170029563,49.824817327552374,43.98161673288877,44.609408016151036,48.166285402414424,168,,,,53.382822404845314,,,,,,,,,,,,
Jonas Krumrey,22.0,Holstein Kiel,17,47.27261346682568,47.372404424842216,55.8835158169408,46.05755181076932,46.079625982112624,46.05085803134086,48.16301557662376,169,0.8485137,84.85137,39.0,66.43043901954269,Luca Petzold,0.9986592568228058,24.0,43.887705690305424,46.27231382359704,54.86206870171563,49.981837850534795,47.909437757899326,Nacho Miras,0.9981989981131616,Andrija Katic,0.99799323941141
Martin Fraisl,32.0,FC Midtjylland,6,46.50191981421078,39.27703875259981,52.93885031009969,47.29412979596971,56.86701302205197,45.747899583538356,48.13702180448243,170,,,,21.724369875061505,,,,,,,,,,,,
Guillaume Dietsch,24.0,FC Metz,1,45.208073046337674,67.72389788308804,23.340836571651266,39.16540313585074,54.97797185271486,,48.020461660394645,171,0.6923276,69.232765,45.0,45.46141771533847,Maximilian Weisbäcker,0.972245621168819,24.0,46.842607074229676,67.39076021898605,50.77472752504936,46.82245372648347,47.71193366016076,Fabian de Keijzer,0.9708882764450598,Matous Trmal,0.9696745405866354
Menno Bergsen,26.0,Helmond Sport,28,48.2498270216155,47.37544408239346,44.36214380826292,47.89518043094727,51.70337626634332,44.37353934796182,47.95322875796426,172,0.6988537,69.88537,44.0,80.63412666754252,Rihards Matrevics,0.9998610774654295,26.0,46.52031088956172,45.57918437950524,44.09221039704963,47.00811887839371,48.80110760297313,Pavlo Isenko,0.9996208165012762,Antonín Kinský,0.9993912590153592
Samuel Sahin-Radlinger,33.0,FK Austria Wien,47,47.77227200427415,49.42504441745024,52.29406459170315,47.46630732731533,44.566121913941295,43.74812751936862,47.908061665015985,173,,,,53.12443825581059,,,,,,,,,,,,
Zsombor Senkó,23.0,NK Nafta 1903,6,47.92811332526685,44.353349995109284,50.03322538580074,37.43438275124913,55.395129139356634,45.54652197758348,47.853878006347436,174,0.0016633311,0.16633311,101.0,51.56337736226963,Andrea Hoxha,0.9983709255785004,26.0,54.632190511818685,46.781928732438104,51.94897888011032,42.69658991973789,54.98302139277174,Dominik Holec,0.9959221630790502,Georgiy Yermakov,0.9956489882419081
Matej Kovar,25.0,PSV Eindhoven,23,47.490206664336526,49.58999664006583,57.9550624279287,50.41897372891661,38.73190945851782,43.817939395290104,47.83749692586316,175,0.5294468,52.94468,52.0,73.72456802526125,Andrija Katic,0.9990553162353387,24.0,45.246200331557006,51.7338110413664,57.3644801484022,49.487108187905434,42.67767530386597,Nacho Miras,0.9963966291654972,Luca Petzold,0.9958000085999188
Janis Blaswich,34.0,Red Bull Salzburg,9,54.0909693367313,42.2959578343186,46.64280815648533,52.84901441149095,43.28455806672081,43.50143454941601,47.79978837331997,176,,,,25.050430364824805,,,,,,,,,,,,
Daniel Schmidt,34.0,Nagoya Grampus,12,47.134156216090524,47.91554848961565,54.66303106046327,48.6634533828137,43.967996550091755,43.67509947349415,47.76651084379421,177,,,,29.102529842048245,,,,,,,,,,,,
Daniel Klein,24.0,FC Augsburg II,2,52.02813805835352,53.8183119222744,33.09297937411424,32.54091144109493,54.23045350105987,46.566883557302155,47.76457673026464,178,0.0019412348,0.19412348,95.0,46.23926155624636,Fabian de Keijzer,0.9894113750409816,25.0,50.10603685143083,47.51608865431524,40.740750040068384,45.85694801697373,62.03973063982812,Antonín Kinský,0.9859484560346308,Hervé Koffi,0.9848931511632925
Lucas Hägg Johansson,31.0,IF Brommapojkarna,8,47.68662018705186,46.51215057768862,46.845796502255546,48.12336672442898,50.153660696770025,42.49935941723576,47.603322429650305,179,,,,23.416474491837395,,,,,,,,,,,,
